Id|AirlineCode|AirlineName|AirlineFullName|AirlineType
425|HE|LUFTFAHRTGESELLSCHAFT WALTER|LUFTFAHRTGESELLSCHAFT WALTER|
426|HF|HAPAG LLOYD FLUGGESELLSCHAFT|HAPAG LLOYD FLUGGESELLSCHAFT|
427|HG|NIKI|NIKI|
428|HH|AIR HAMBURG|AIR HAMBURG|
429|HI|PAPILLON AIRWAYS|PAPILLON AIRWAYS|
430|HK|YANGON AIRWAYS LIMITED|YANGON AIRWAYS LIMITED|
431|HM|AIR SEYCHELLES|AIR SEYCHELLES|
432|HN|NLM CITYHOPPER B.V.|NLM CITYHOPPER B.V.|
433|HO|JUNEYAO AIRLINES|JUNEYAO AIRLINES|
434|HP|AMERICA WEST AIRLINES|AMERICA WEST AIRLINES|
